season,date,regular,playoffs,away,home,score_away,score_home,whos_favored,spread,total,moneyline_away,moneyline_home,underdog_wins,underdog_covers_no_win,fave_covers,ATS_outcome,Season_Type
2008,2008-04-19,False,True,wsh,cle,86,93,home,4.0,187.0,155.0,-175.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-19,False,True,phx,sa,115,117,home,4.5,192.0,170.0,-200.0,False,True,False,Underdog Covers But Loses,Playoffs
2008,2008-04-19,False,True,dal,no,92,104,home,4.5,192.0,175.0,-205.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-19,False,True,utah,hou,93,82,home,0.0,184.5,-110.0,-110.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-20,False,True,tor,orl,100,114,home,6.0,196.0,225.0,-265.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-20,False,True,den,lal,114,128,home,8.0,225.0,330.0,-400.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-20,False,True,phi,det,90,86,home,9.5,178.5,450.0,-550.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-20,False,True,atl,bos,81,104,home,15.5,190.0,1500.0,-3000.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-21,False,True,wsh,cle,86,116,home,1.5,188.0,105.0,-125.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-21,False,True,utah,hou,90,84,home,1.0,183.0,-105.0,-115.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-22,False,True,dal,no,103,127,home,3.5,192.0,150.0,-170.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-22,False,True,tor,orl,103,104,home,6.0,200.5,225.0,-265.0,False,True,False,Underdog Covers But Loses,Playoffs
2008,2008-04-22,False,True,phx,sa,96,102,home,1.5,191.0,110.0,-130.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-23,False,True,phi,det,88,105,home,10.5,178.5,600.0,-800.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-23,False,True,atl,bos,77,96,home,15.0,188.5,2200.0,-3000.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-23,False,True,den,lal,107,122,home,8.5,229.5,330.0,-420.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-24,False,True,orl,tor,94,108,home,4.0,205.0,175.0,-205.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-24,False,True,cle,wsh,72,108,home,5.5,192.0,195.0,-235.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-24,False,True,hou,utah,94,92,home,9.0,185.5,405.0,-505.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-25,False,True,det,phi,75,95,away,5.0,180.5,-230.0,190.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-25,False,True,no,dal,87,97,home,6.0,196.0,225.0,-265.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-25,False,True,sa,phx,115,99,home,7.0,196.5,270.0,-320.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-26,False,True,orl,tor,106,94,home,2.0,204.0,115.0,-135.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-26,False,True,lal,den,102,84,home,2.0,230.0,110.0,-130.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-26,False,True,bos,atl,93,102,away,8.5,189.0,-450.0,370.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-26,False,True,hou,utah,82,86,home,9.0,186.0,450.0,-550.0,False,True,False,Underdog Covers But Loses,Playoffs
2008,2008-04-27,False,True,cle,wsh,100,97,home,5.0,189.5,180.0,-220.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-27,False,True,sa,phx,86,105,home,3.5,201.0,145.0,-165.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-27,False,True,det,phi,93,84,away,5.5,179.5,-260.0,220.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-27,False,True,no,dal,97,84,home,4.5,196.5,170.0,-200.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-28,False,True,tor,orl,92,102,home,7.0,203.5,290.0,-350.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-28,False,True,bos,atl,92,97,away,9.0,188.0,-460.0,380.0,True,False,False,Underdog Wins,Playoffs
2008,2008-04-28,False,True,lal,den,107,101,away,4.0,224.5,-190.0,160.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-29,False,True,phi,det,81,98,home,10.0,179.0,500.0,-625.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-29,False,True,dal,no,94,99,home,7.0,195.5,270.0,-320.0,False,True,False,Underdog Covers But Loses,Playoffs
2008,2008-04-29,False,True,utah,hou,69,95,home,1.0,182.5,100.0,-120.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-29,False,True,phx,sa,87,92,home,5.0,198.5,180.0,-210.0,False,Push,False,Push,Playoffs
2008,2008-04-30,False,True,atl,bos,85,110,home,14.5,187.0,1250.0,-2100.0,False,False,True,Favorite Covers,Playoffs
2008,2008-04-30,False,True,wsh,cle,88,87,home,5.0,191.5,190.0,-230.0,True,False,False,Underdog Wins,Playoffs
